date,open,high,low,close,volume
2024-09-18,630.0,635.0,610.0,635.0,139200
2024-09-19,635.0,640.0,630.0,635.0,219600
2024-09-20,630.0,635.0,620.0,635.0,168600
2024-09-23,630.0,630.0,620.0,625.0,147200
2024-09-24,625.0,640.0,620.0,640.0,161200
2024-09-25,640.0,645.0,630.0,640.0,100200
2024-09-26,640.0,645.0,615.0,640.0,193800
2024-09-27,640.0,640.0,635.0,640.0,185200
2024-09-30,635.0,635.0,630.0,635.0,190200
2024-10-01,635.0,635.0,630.0,635.0,102300
2024-10-02,635.0,640.0,630.0,635.0,63000
2024-10-03,630.0,630.0,610.0,630.0,59600
2024-10-04,630.0,630.0,620.0,630.0,255400
2024-10-07,630.0,635.0,615.0,635.0,210000
2024-10-08,635.0,635.0,625.0,630.0,82300
2024-10-09,625.0,630.0,625.0,630.0,247500
2024-10-10,630.0,640.0,625.0,640.0,317700
2024-10-11,640.0,640.0,625.0,640.0,198500
2024-10-14,640.0,640.0,630.0,640.0,263700
2024-10-15,640.0,640.0,630.0,635.0,126700
2024-10-16,635.0,640.0,625.0,640.0,235400
2024-10-17,635.0,640.0,630.0,640.0,338800
2024-10-18,635.0,635.0,620.0,630.0,387600
2024-10-21,630.0,630.0,615.0,625.0,121000
2024-10-22,620.0,625.0,615.0,625.0,129700
2024-10-23,625.0,630.0,615.0,625.0,191000
2024-10-24,625.0,625.0,615.0,625.0,293600
2024-10-25,620.0,625.0,615.0,625.0,76800
2024-10-28,625.0,635.0,610.0,635.0,430400
2024-10-29,630.0,640.0,620.0,640.0,141900
2024-10-30,640.0,640.0,620.0,640.0,72200
2024-10-31,635.0,650.0,620.0,650.0,350700
2024-11-01,650.0,650.0,635.0,635.0,317800
2024-11-04,635.0,640.0,630.0,635.0,422600
2024-11-05,635.0,640.0,625.0,630.0,170500
2024-11-06,625.0,635.0,620.0,630.0,209100
2024-11-07,630.0,630.0,620.0,625.0,84400
2024-11-08,625.0,635.0,620.0,630.0,159500
2024-11-11,625.0,630.0,615.0,630.0,252900
2024-11-12,630.0,635.0,620.0,630.0,172300
2024-11-13,630.0,635.0,625.0,630.0,90200
2024-11-14,630.0,635.0,625.0,630.0,267300
2024-11-15,630.0,635.0,625.0,630.0,176000
2024-11-18,630.0,635.0,620.0,630.0,124700
2024-11-19,625.0,630.0,620.0,630.0,184800
2024-11-20,630.0,635.0,620.0,630.0,179900
2024-11-21,630.0,630.0,620.0,630.0,155000
2024-11-22,630.0,630.0,600.0,625.0,315900
2024-11-25,625.0,630.0,620.0,625.0,173100
2024-11-26,625.0,630.0,605.0,630.0,302800
2024-11-28,620.0,630.0,595.0,630.0,428900
2024-11-29,630.0,630.0,610.0,630.0,374800
2024-12-02,630.0,630.0,615.0,630.0,182200
2024-12-03,630.0,630.0,615.0,620.0,280400
2024-12-04,615.0,625.0,605.0,620.0,483900
2024-12-05,620.0,625.0,615.0,625.0,666100
2024-12-06,625.0,625.0,615.0,625.0,849300
2024-12-09,625.0,625.0,610.0,620.0,791900
2024-12-10,620.0,620.0,610.0,615.0,299900
2024-12-11,615.0,615.0,605.0,610.0,328200
2024-12-12,610.0,610.0,605.0,610.0,112800
2024-12-13,605.0,610.0,605.0,610.0,236500
2024-12-16,610.0,615.0,600.0,605.0,214100
2024-12-17,605.0,610.0,575.0,610.0,512700
2024-12-18,610.0,615.0,605.0,610.0,211800
2024-12-19,610.0,615.0,600.0,610.0,251000
2024-12-20,610.0,610.0,605.0,610.0,404900
2024-12-23,605.0,615.0,580.0,615.0,334500
2024-12-24,615.0,630.0,615.0,630.0,358500
2024-12-27,630.0,640.0,620.0,640.0,324900
2024-12-30,640.0,655.0,630.0,655.0,627600
2025-01-02,655.0,655.0,640.0,645.0,323800
2025-01-03,645.0,650.0,635.0,645.0,483700
2025-01-06,645.0,650.0,635.0,640.0,457000
2025-01-07,640.0,640.0,635.0,640.0,599000
2025-01-08,640.0,640.0,625.0,635.0,363200
2025-01-09,635.0,635.0,620.0,630.0,507000
2025-01-10,630.0,630.0,620.0,630.0,350500
2025-01-13,630.0,630.0,620.0,630.0,477300
2025-01-14,630.0,630.0,605.0,625.0,138100
2025-01-15,625.0,625.0,605.0,625.0,446900
2025-01-16,625.0,625.0,610.0,620.0,409200
2025-01-17,620.0,620.0,600.0,615.0,347900
2025-01-20,615.0,625.0,605.0,615.0,532200
2025-01-21,615.0,620.0,605.0,620.0,346500
2025-01-22,620.0,625.0,610.0,620.0,350000
2025-01-23,615.0,620.0,600.0,620.0,416000
2025-01-24,620.0,630.0,605.0,615.0,469300
2025-01-30,615.0,620.0,605.0,610.0,253800
2025-01-31,610.0,620.0,605.0,620.0,248400
2025-02-03,620.0,620.0,610.0,615.0,434700
2025-02-04,615.0,615.0,605.0,610.0,287900
2025-02-05,610.0,630.0,600.0,630.0,510500
2025-02-06,625.0,630.0,615.0,630.0,214800
2025-02-07,630.0,630.0,620.0,625.0,122400
2025-02-10,625.0,625.0,610.0,615.0,231000
2025-02-11,610.0,615.0,595.0,615.0,347100
2025-02-12,615.0,625.0,595.0,625.0,594100
2025-02-13,625.0,635.0,620.0,630.0,211700
2025-02-14,630.0,640.0,620.0,630.0,368800
2025-02-17,625.0,635.0,620.0,625.0,217400
2025-02-18,625.0,630.0,615.0,630.0,316100
2025-02-19,630.0,630.0,610.0,620.0,212200
2025-02-20,620.0,630.0,615.0,615.0,379700
2025-02-21,615.0,620.0,595.0,610.0,548500
2025-02-24,610.0,610.0,595.0,610.0,347900
2025-02-25,605.0,615.0,590.0,615.0,987900
2025-02-26,615.0,615.0,575.0,610.0,931000
2025-02-27,605.0,620.0,600.0,615.0,1164100
2025-02-28,615.0,615.0,595.0,610.0,1406200
2025-03-03,605.0,615.0,585.0,610.0,542300
2025-03-04,610.0,615.0,605.0,615.0,264600
2025-03-05,615.0,620.0,600.0,620.0,355900
2025-03-06,620.0,620.0,605.0,620.0,310600
2025-03-07,620.0,620.0,610.0,615.0,299300
2025-03-10,615.0,620.0,610.0,615.0,291600
2025-03-11,615.0,615.0,600.0,610.0,380000
2025-03-12,610.0,615.0,600.0,615.0,266200
2025-03-13,615.0,615.0,605.0,615.0,273600
2025-03-14,615.0,615.0,610.0,615.0,262600
2025-03-17,610.0,615.0,610.0,615.0,346100
2025-03-18,610.0,615.0,575.0,595.0,306600
2025-03-19,595.0,605.0,590.0,605.0,478200
2025-03-20,600.0,615.0,595.0,615.0,293600
2025-03-21,610.0,615.0,600.0,605.0,264700
2025-03-24,600.0,615.0,590.0,615.0,514100
2025-03-25,610.0,625.0,595.0,625.0,442900
2025-03-26,620.0,640.0,615.0,640.0,366300
2025-03-27,640.0,660.0,630.0,660.0,412700
2025-04-08,660.0,660.0,600.0,625.0,120200
2025-04-09,615.0,630.0,605.0,625.0,218200
2025-04-10,620.0,635.0,615.0,635.0,443600
2025-04-11,635.0,635.0,625.0,635.0,391800
2025-04-14,635.0,635.0,625.0,635.0,490000
2025-04-15,635.0,640.0,625.0,635.0,150600
2025-04-16,630.0,635.0,625.0,630.0,229500
2025-04-17,635.0,635.0,605.0,630.0,223200
2025-04-21,630.0,635.0,615.0,625.0,291800
2025-04-22,625.0,630.0,605.0,630.0,425800
2025-04-23,625.0,635.0,625.0,630.0,576900
2025-04-24,630.0,630.0,625.0,630.0,644800
2025-04-25,630.0,630.0,610.0,630.0,574000
2025-04-28,630.0,630.0,620.0,625.0,411000
2025-04-29,620.0,640.0,620.0,635.0,883400
2025-04-30,630.0,635.0,625.0,625.0,396400
2025-05-02,625.0,625.0,615.0,625.0,512600
2025-05-05,625.0,630.0,625.0,625.0,657400
2025-05-06,620.0,625.0,615.0,620.0,787500
2025-05-07,620.0,620.0,610.0,620.0,841200
2025-05-08,620.0,620.0,615.0,620.0,807100
2025-05-09,620.0,625.0,615.0,620.0,637000
2025-05-14,620.0,625.0,615.0,625.0,416700
2025-05-15,625.0,630.0,615.0,630.0,769900
2025-05-16,630.0,635.0,615.0,630.0,585900
2025-05-19,625.0,630.0,615.0,625.0,664800
2025-05-20,620.0,635.0,620.0,630.0,756000
2025-05-21,630.0,635.0,620.0,630.0,611600
2025-05-22,630.0,640.0,625.0,635.0,346000
2025-05-23,625.0,630.0,625.0,630.0,1300
2025-05-26,630.0,635.0,625.0,630.0,366900
2025-05-27,630.0,640.0,630.0,635.0,573000
2025-05-28,635.0,640.0,630.0,635.0,515100
2025-06-02,635.0,640.0,625.0,625.0,435100
2025-06-03,625.0,630.0,625.0,625.0,434900
2025-06-04,625.0,630.0,620.0,625.0,297000
2025-06-05,625.0,625.0,620.0,625.0,566200
2025-06-10,625.0,625.0,620.0,620.0,583300
2025-06-11,620.0,620.0,610.0,615.0,94700
2025-06-12,615.0,620.0,615.0,620.0,375900
2025-06-13,620.0,625.0,615.0,620.0,473200
2025-06-16,620.0,625.0,620.0,620.0,337400
2025-06-17,620.0,620.0,615.0,615.0,428700
2025-06-18,615.0,620.0,600.0,620.0,812900
2025-06-19,620.0,620.0,605.0,620.0,261900
2025-06-20,620.0,630.0,615.0,630.0,379800
2025-06-23,620.0,630.0,595.0,630.0,198000
2025-06-24,625.0,645.0,625.0,645.0,357100
2025-06-25,645.0,650.0,635.0,645.0,610000
2025-06-26,645.0,655.0,635.0,655.0,273300
2025-06-30,655.0,660.0,645.0,660.0,296300
2025-07-01,660.0,660.0,630.0,650.0,296600
2025-07-02,650.0,650.0,635.0,645.0,286500
2025-07-03,645.0,650.0,610.0,640.0,409700
2025-07-04,640.0,645.0,635.0,640.0,277900
