date,open,high,low,close,volume
2024-05-16,4590.0,4720.0,4540.0,4710.0,149039700
2024-05-17,4710.0,4810.0,4690.0,4800.0,101492400
2024-05-20,4800.0,4830.0,4730.0,4740.0,58021800
2024-05-21,4750.0,4770.0,4700.0,4700.0,57558000
2024-05-22,4720.0,4730.0,4700.0,4710.0,25932300
2024-05-27,4700.0,4720.0,4550.0,4550.0,86050000
2024-05-28,4560.0,4600.0,4510.0,4510.0,42542400
2024-05-29,4800.0,4800.0,4370.0,4460.0,148814900
2024-05-30,4450.0,4450.0,4310.0,4320.0,112636300
2024-05-31,4340.0,4370.0,4290.0,4290.0,144592700
2024-06-03,4330.0,4530.0,4330.0,4500.0,77444200
2024-06-04,4510.0,4630.0,4480.0,4580.0,92676800
2024-06-05,4560.0,4640.0,4550.0,4600.0,65856400
2024-06-06,4620.0,4620.0,4530.0,4560.0,43632400
2024-06-07,4550.0,4570.0,4530.0,4560.0,34027900
2024-06-10,4560.0,4560.0,4500.0,4510.0,19932200
2024-06-11,4500.0,4500.0,4350.0,4350.0,71234400
2024-06-12,4350.0,4410.0,4290.0,4360.0,65665400
2024-06-13,4410.0,4480.0,4400.0,4460.0,55824400
2024-06-14,4480.0,4530.0,4410.0,4420.0,57967500
2024-06-19,4450.0,4510.0,4420.0,4450.0,48727600
2024-06-20,4440.0,4470.0,4360.0,4450.0,35160300
2024-06-21,4450.0,4530.0,4410.0,4490.0,98313200
2024-06-24,4480.0,4500.0,4410.0,4430.0,36677200
2024-06-25,4440.0,4440.0,4360.0,4400.0,50385000
2024-06-26,4400.0,4450.0,4370.0,4420.0,38397100
2024-06-27,4430.0,4440.0,4400.0,4430.0,21784700
2024-06-28,4430.0,4560.0,4430.0,4460.0,127293900
2024-07-01,4490.0,4620.0,4490.0,4620.0,141627300
2024-07-02,4610.0,4620.0,4510.0,4530.0,72229800
2024-07-03,4550.0,4580.0,4520.0,4570.0,30743200
2024-07-04,4580.0,4610.0,4550.0,4550.0,44755400
2024-07-05,4570.0,4610.0,4540.0,4580.0,53196500
2024-07-08,4600.0,4640.0,4560.0,4640.0,69535000
2024-07-09,4620.0,4620.0,4540.0,4560.0,84784500
2024-07-10,4570.0,4580.0,4520.0,4540.0,44563900
2024-07-11,4550.0,4600.0,4500.0,4510.0,71140800
2024-07-12,4510.0,4570.0,4500.0,4540.0,54299700
2024-07-15,4540.0,4550.0,4460.0,4470.0,53234000
2024-07-16,4480.0,4490.0,4380.0,4380.0,83814800
2024-07-17,4420.0,4470.0,4400.0,4460.0,49379700
2024-07-18,4470.0,4540.0,4460.0,4540.0,54184300
2024-07-19,4520.0,4540.0,4480.0,4530.0,40785800
2024-07-22,4530.0,4540.0,4480.0,4520.0,33128600
2024-07-23,4510.0,4530.0,4450.0,4450.0,46427300
2024-07-24,4470.0,4560.0,4460.0,4530.0,50741700
2024-07-25,4530.0,4530.0,4450.0,4490.0,40364400
2024-07-26,4500.0,4620.0,4500.0,4610.0,92236800
2024-07-29,4620.0,4630.0,4580.0,4610.0,42232800
2024-07-30,4610.0,4610.0,4520.0,4540.0,40995800
2024-07-31,4620.0,4730.0,4590.0,4720.0,170406600
2024-08-01,4700.0,4740.0,4660.0,4740.0,50775700
2024-08-02,4710.0,4740.0,4670.0,4690.0,47509800
2024-08-05,4640.0,4650.0,4520.0,4560.0,93952300
2024-08-06,4600.0,4620.0,4540.0,4610.0,56748800
2024-08-07,4600.0,4630.0,4560.0,4630.0,72464900
2024-08-08,4620.0,4750.0,4600.0,4740.0,116387300
2024-08-09,4760.0,4790.0,4730.0,4760.0,44489500
2024-08-12,4760.0,4780.0,4720.0,4760.0,34027600
2024-08-13,4800.0,4800.0,4740.0,4760.0,43904800
2024-08-14,4800.0,4930.0,4770.0,4890.0,91874600
2024-08-15,4890.0,4920.0,4840.0,4890.0,46694800
2024-08-16,4900.0,4990.0,4900.0,4970.0,65502100
2024-08-19,4970.0,5050.0,4940.0,5025.0,54296700
2024-08-20,5050.0,5150.0,5025.0,5125.0,94493800
2024-08-21,5150.0,5225.0,5075.0,5075.0,94502800
2024-08-22,5025.0,5050.0,4990.0,5000.0,63177200
2024-08-23,5050.0,5175.0,5050.0,5100.0,52275100
2024-08-26,5125.0,5200.0,5125.0,5150.0,30540900
2024-08-27,5150.0,5175.0,5075.0,5150.0,30475700
2024-08-28,5150.0,5150.0,5000.0,5025.0,64090900
2024-08-29,5050.0,5075.0,5000.0,5075.0,42502100
2024-08-30,5075.0,5125.0,5025.0,5100.0,74429400
2024-09-02,5100.0,5225.0,5100.0,5200.0,84858600
2024-09-03,5225.0,5225.0,5125.0,5125.0,34864300
2024-09-04,5050.0,5100.0,5025.0,5050.0,45331200
2024-09-05,5075.0,5125.0,5050.0,5075.0,34711100
2024-09-06,5050.0,5125.0,5050.0,5050.0,32014300
2024-09-09,5050.0,5100.0,5000.0,5025.0,55466500
2024-09-10,5075.0,5100.0,5000.0,5025.0,58871700
2024-09-11,5025.0,5050.0,5000.0,5025.0,27381100
2024-09-12,5025.0,5075.0,5025.0,5025.0,24718300
2024-09-13,5025.0,5075.0,5025.0,5075.0,24921900
2024-09-17,5075.0,5100.0,5025.0,5075.0,35574000
2024-09-18,5100.0,5275.0,5075.0,5250.0,123540100
2024-09-19,5275.0,5275.0,5200.0,5275.0,57254000
2024-09-20,5275.0,5275.0,5200.0,5225.0,47509500
2024-09-23,5250.0,5275.0,5225.0,5225.0,23362800
2024-09-24,5250.0,5275.0,5225.0,5275.0,43482600
2024-09-25,5300.0,5300.0,5150.0,5225.0,63437200
2024-09-26,5250.0,5275.0,5175.0,5250.0,56030300
2024-09-27,5275.0,5275.0,5050.0,5100.0,57476200
2024-09-30,5100.0,5100.0,5000.0,5050.0,66737800
2024-10-01,5100.0,5175.0,5075.0,5175.0,39024000
2024-10-02,5150.0,5150.0,5050.0,5150.0,39888600
2024-10-03,5175.0,5250.0,5100.0,5250.0,56763900
2024-10-04,5250.0,5250.0,5100.0,5150.0,35939300
2024-10-07,5150.0,5175.0,5075.0,5100.0,27889100
2024-10-08,5100.0,5225.0,5075.0,5225.0,42347600
2024-10-09,5225.0,5225.0,5075.0,5075.0,33544900
2024-10-10,5100.0,5125.0,5075.0,5125.0,27734400
2024-10-11,5125.0,5150.0,5075.0,5075.0,39320000
2024-10-14,5025.0,5025.0,4920.0,4930.0,71369100
2024-10-15,4930.0,4970.0,4900.0,4930.0,61263600
2024-10-16,4950.0,4960.0,4900.0,4960.0,80530100
2024-10-17,4950.0,4970.0,4930.0,4950.0,54164800
2024-10-18,4960.0,4960.0,4920.0,4920.0,39805400
2024-10-21,4950.0,5100.0,4930.0,5100.0,88954300
2024-10-22,5125.0,5275.0,5100.0,5275.0,132222000
2024-10-23,5275.0,5300.0,5175.0,5300.0,64519100
2024-10-24,5300.0,5300.0,5200.0,5275.0,50777100
2024-10-25,5275.0,5275.0,5200.0,5225.0,27247500
2024-10-28,5250.0,5250.0,5125.0,5250.0,40165900
2024-10-29,5250.0,5250.0,5125.0,5125.0,45247600
2024-10-30,5125.0,5200.0,5050.0,5200.0,33200300
2024-10-31,5300.0,5300.0,5100.0,5100.0,77263000
2024-11-01,5125.0,5175.0,5050.0,5075.0,54219100
2024-11-04,5075.0,5125.0,4980.0,5125.0,52362100
2024-11-05,5125.0,5200.0,5075.0,5175.0,31165800
2024-11-06,5175.0,5175.0,5025.0,5050.0,32975900
2024-11-07,5050.0,5075.0,5000.0,5000.0,46053500
2024-11-08,5050.0,5075.0,4950.0,4960.0,32828900
2024-11-11,4960.0,4990.0,4850.0,4970.0,49885000
2024-11-12,5000.0,5000.0,4930.0,4970.0,43239600
2024-11-13,5000.0,5025.0,4950.0,5025.0,24479600
2024-11-14,5025.0,5025.0,4930.0,4950.0,38255700
2024-11-15,4940.0,4960.0,4920.0,4940.0,14867600
2024-11-18,4950.0,4970.0,4910.0,4930.0,17408700
2024-11-19,4930.0,4970.0,4900.0,4970.0,36816800
2024-11-20,4970.0,5025.0,4950.0,5000.0,18634300
2024-11-21,4990.0,4990.0,4890.0,4890.0,27662900
2024-11-22,4900.0,4960.0,4860.0,4910.0,21241800
2024-11-25,4950.0,5175.0,4940.0,5175.0,84518400
2024-11-26,5150.0,5200.0,5100.0,5150.0,45059300
2024-11-28,5200.0,5225.0,5125.0,5125.0,30554200
2024-11-29,5125.0,5125.0,5025.0,5100.0,48756800
2024-12-02,5100.0,5150.0,4900.0,4940.0,47373200
2024-12-03,4980.0,5125.0,4970.0,5125.0,46752800
2024-12-04,5100.0,5225.0,5075.0,5225.0,51733400
2024-12-05,5225.0,5225.0,5125.0,5200.0,21948400
2024-12-06,5150.0,5175.0,5050.0,5150.0,36599600
2024-12-09,5150.0,5225.0,5100.0,5225.0,37208600
2024-12-10,5200.0,5225.0,5150.0,5225.0,41536400
2024-12-11,5175.0,5250.0,5175.0,5250.0,41090000
2024-12-12,5150.0,5225.0,5050.0,5100.0,37254100
2024-12-13,5100.0,5150.0,5050.0,5125.0,27732300
2024-12-16,5075.0,5150.0,5000.0,5125.0,35937800
2024-12-17,5100.0,5150.0,4950.0,4980.0,48682400
2024-12-18,4980.0,5050.0,4960.0,5000.0,27412000
2024-12-19,4950.0,4950.0,4860.0,4880.0,39151900
2024-12-20,4880.0,4900.0,4850.0,4870.0,44851200
2024-12-23,4900.0,4950.0,4870.0,4950.0,29678900
2024-12-24,4940.0,4980.0,4880.0,4880.0,22600500
2024-12-27,4890.0,4940.0,4880.0,4930.0,14456700
2024-12-30,4930.0,4940.0,4880.0,4900.0,23926400
2025-01-02,4910.0,4970.0,4900.0,4950.0,17924000
2025-01-03,4950.0,4970.0,4920.0,4950.0,12711800
2025-01-06,4950.0,5000.0,4860.0,4860.0,18412500
2025-01-07,4860.0,4920.0,4850.0,4920.0,20452200
2025-01-08,4880.0,4910.0,4810.0,4810.0,23739400
2025-01-09,4830.0,4950.0,4830.0,4930.0,23802600
2025-01-10,4940.0,4960.0,4860.0,4900.0,31951800
2025-01-13,4910.0,4920.0,4720.0,4750.0,46247300
2025-01-14,4770.0,4850.0,4750.0,4750.0,28096700
2025-01-15,4790.0,4940.0,4780.0,4940.0,27497200
2025-01-16,5025.0,5025.0,4880.0,4880.0,30520200
2025-01-17,4860.0,4970.0,4840.0,4940.0,23691900
2025-01-20,4940.0,4960.0,4900.0,4910.0,11873200
2025-01-21,4930.0,4970.0,4900.0,4910.0,21762200
2025-01-22,4920.0,4980.0,4880.0,4960.0,33116700
2025-01-23,4960.0,4980.0,4900.0,4900.0,17049700
2025-01-24,4900.0,4960.0,4870.0,4870.0,19663900
2025-01-30,4870.0,4870.0,4780.0,4780.0,28147100
2025-01-31,4790.0,4840.0,4790.0,4800.0,27064100
2025-02-03,4800.0,4800.0,4740.0,4760.0,33116100
2025-02-04,4770.0,4840.0,4760.0,4800.0,20631500
2025-02-05,4850.0,4850.0,4730.0,4740.0,20436200
2025-02-06,4740.0,4740.0,4520.0,4550.0,61645400
2025-02-07,4610.0,4670.0,4530.0,4650.0,33223300
2025-02-10,4610.0,4650.0,4520.0,4570.0,40230000
2025-02-11,4590.0,4650.0,4570.0,4610.0,32956400
2025-02-12,4680.0,4680.0,4620.0,4640.0,30762900
2025-02-13,4640.0,4670.0,4580.0,4660.0,21320200
2025-02-14,4660.0,4730.0,4640.0,4680.0,31409000
2025-02-17,4680.0,4780.0,4670.0,4740.0,30270200
2025-02-18,4740.0,4840.0,4740.0,4800.0,31828200
2025-02-19,4820.0,4840.0,4610.0,4700.0,47951400
2025-02-20,4700.0,4740.0,4650.0,4720.0,23653800
2025-02-21,4740.0,4800.0,4600.0,4750.0,31937400
2025-02-24,4750.0,4770.0,4660.0,4700.0,22303600
2025-02-25,4710.0,4750.0,4550.0,4560.0,42728600
2025-02-26,4560.0,4600.0,4520.0,4580.0,19351300
2025-02-27,4550.0,4590.0,4480.0,4590.0,37731000
2025-02-28,4650.0,4650.0,4370.0,4530.0,70620000
2025-03-03,4530.0,4720.0,4500.0,4680.0,65345600
2025-03-04,4680.0,4700.0,4590.0,4690.0,40873900
2025-03-05,4700.0,4900.0,4690.0,4900.0,86703900
2025-03-06,4900.0,4960.0,4860.0,4900.0,51276300
2025-03-07,4900.0,4970.0,4790.0,4930.0,59830500
2025-03-10,4900.0,4900.0,4750.0,4770.0,53139600
2025-03-11,4720.0,4800.0,4700.0,4800.0,35571600
2025-03-12,4760.0,4830.0,4740.0,4810.0,29264500
2025-03-13,4790.0,4810.0,4680.0,4730.0,41066600
2025-03-14,4730.0,4730.0,4610.0,4620.0,35967600
2025-03-17,4660.0,4670.0,4610.0,4620.0,23856300
2025-03-18,4630.0,4650.0,4460.0,4650.0,66583100
2025-03-19,4650.0,4700.0,4610.0,4690.0,37556400
2025-03-20,4690.0,4750.0,4640.0,4710.0,23310500
2025-03-21,4720.0,4840.0,4630.0,4840.0,57730500
2025-03-24,4780.0,4780.0,4540.0,4690.0,29695400
2025-03-25,4700.0,4700.0,4610.0,4650.0,26320300
2025-03-26,4660.0,4840.0,4660.0,4800.0,30508200
2025-03-27,4800.0,4920.0,4790.0,4920.0,44551200
2025-04-08,4800.0,4800.0,4450.0,4480.0,94752400
2025-04-09,4480.0,4660.0,4470.0,4620.0,46086300
2025-04-10,4750.0,4840.0,4690.0,4710.0,43115600
2025-04-11,4660.0,4740.0,4620.0,4710.0,31446100
2025-04-14,4740.0,4930.0,4710.0,4930.0,39843200
2025-04-15,4930.0,4950.0,4800.0,4870.0,56488100
2025-04-16,4850.0,4860.0,4690.0,4780.0,44479500
2025-04-17,4770.0,4770.0,4710.0,4750.0,28099700
2025-04-21,4750.0,4810.0,4740.0,4790.0,14313200
2025-04-22,4750.0,4780.0,4720.0,4740.0,29906300
2025-04-23,4770.0,4840.0,4770.0,4820.0,38609800
2025-04-24,4830.0,4840.0,4770.0,4770.0,42307000
2025-04-25,4790.0,4910.0,4790.0,4860.0,45465200
2025-04-28,4880.0,4930.0,4870.0,4890.0,22380800
2025-04-29,4910.0,4910.0,4800.0,4800.0,46881000
2025-04-30,4800.0,4840.0,4780.0,4800.0,46038900
2025-05-02,4810.0,4860.0,4760.0,4790.0,61301400
2025-05-05,4800.0,4810.0,4770.0,4780.0,30747900
2025-05-06,4780.0,4800.0,4750.0,4750.0,53222000
2025-05-07,4780.0,4840.0,4770.0,4830.0,47790800
2025-05-08,4860.0,4930.0,4780.0,4780.0,92459500
2025-05-09,4790.0,4830.0,4780.0,4780.0,38964000
2025-05-14,4860.0,4880.0,4800.0,4810.0,92389200
2025-05-15,4820.0,4850.0,4810.0,4820.0,69701600
2025-05-16,4840.0,4880.0,4810.0,4880.0,64271600
2025-05-19,4890.0,4960.0,4880.0,4940.0,97782400
2025-05-20,4960.0,4960.0,4860.0,4860.0,127610600
2025-05-21,4600.0,4690.0,4570.0,4670.0,115335300
2025-05-22,4680.0,4710.0,4630.0,4630.0,52032700
2025-05-23,4770.0,4780.0,4730.0,4740.0,42300400
2025-05-26,4770.0,4780.0,4690.0,4730.0,40971400
2025-05-27,4710.0,4730.0,4660.0,4700.0,38680100
2025-05-28,4710.0,4850.0,4660.0,4850.0,188036300
2025-06-02,4780.0,4800.0,4730.0,4780.0,115876200
2025-06-03,4750.0,4760.0,4650.0,4700.0,51574100
2025-06-04,4760.0,4760.0,4610.0,4610.0,55901000
2025-06-05,4640.0,4670.0,4610.0,4610.0,38381400
2025-06-10,4670.0,4670.0,4600.0,4600.0,60469600
2025-06-11,4610.0,4630.0,4580.0,4610.0,50550100
2025-06-12,4610.0,4620.0,4560.0,4560.0,54629900
2025-06-13,4580.0,4600.0,4560.0,4570.0,38510500
2025-06-16,4570.0,4630.0,4560.0,4610.0,29939400
2025-06-17,4640.0,4640.0,4590.0,4600.0,29978400
2025-06-18,4610.0,4620.0,4590.0,4590.0,19386900
2025-06-19,4590.0,4600.0,4500.0,4530.0,30832700
2025-06-20,4530.0,4530.0,4480.0,4490.0,50116600
2025-06-23,4470.0,4470.0,4400.0,4430.0,28820000
2025-06-24,4470.0,4500.0,4430.0,4470.0,37523200
2025-06-25,4530.0,4530.0,4420.0,4470.0,33217200
2025-06-26,4440.0,4450.0,4410.0,4450.0,26909800
2025-06-30,4470.0,4520.0,4450.0,4500.0,41865200
2025-07-01,4490.0,4510.0,4440.0,4450.0,27410600
2025-07-02,4450.0,4550.0,4440.0,4540.0,34231600
2025-07-03,4540.0,4590.0,4530.0,4570.0,24120100
2025-07-04,4600.0,4650.0,4570.0,4620.0,25298100
